# {"exp_name": "Flipfacedetect", "audio_controller": null, "response_device": null, "stim_rms": 0.01, "stim_fs": 48000, "stim_db": 65, "noise_db": 45, "output_dir": "data", "window_size": null, "screen_num": null, "full_screen": true, "force_quit": ["4"], "participant": "032", "monitor": null, "trigger_controller": null, "session": "001", "check_rms": "windowed", "suppress_resamp": false, "version": "dev", "enable_video": true, "verbose": null, "date": "2019-05-15 10_37_53.813000", "file": "C:\\Users\\Maddox\\FlippyFace\\Final_Flipped_Detect.py", "version_used": "2.0.0.dev0"}
timestamp	event	value
1300.94726815	flip	1300.94726407
1300.95391437	flip	1300.95391156
1300.96076701	flip	1300.96076497
1300.96774433	flip	1300.96774152
1300.97465547	flip	1300.97465394
1300.98164633	flip	1300.98164351
1300.98857816	flip	1300.98857663
1300.99552482	flip	1300.99552329
1301.00245845	flip	1301.00245717
1301.0094258	flip	1301.00942376
1301.0163487	flip	1301.01634716
1301.02330072	flip	1301.02329893
1301.03023818	flip	1301.03023665
1301.03718841	flip	1301.03718662
1301.04414146	flip	1301.04413992
1301.05106589	flip	1301.05106461
1301.05799977	flip	1301.05799798
1301.0649288	flip	1301.06492752
1301.0718941	flip	1301.07189206
1301.078852	flip	1301.07885047
1301.08585052	flip	1301.08584899
1301.09273893	flip	1301.09273765
1301.09967843	flip	1301.0996769
1301.10664297	flip	1301.10664042
1301.11356357	flip	1301.11356204
1301.12054242	flip	1301.12053756
1301.12747885	flip	1301.12747528
1301.13441018	flip	1301.13440533
1301.14141534	flip	1301.14140104
1301.1485858	flip	1301.14858094
1301.15521899	flip	1301.15521566
1301.16218174	flip	1301.1621802
1301.16912967	flip	1301.16912788
1301.17605998	flip	1301.1760587
1301.18300944	flip	1301.18300715
1301.18995074	flip	1301.18994895
1301.19689484	flip	1301.19689331
1301.20386117	flip	1301.20385989
1301.21080118	flip	1301.21079914
1301.21772638	flip	1301.21772433
1301.22466895	flip	1301.22466767
1301.23160666	flip	1301.23160411
1301.23852496	flip	1301.23852343
1301.24551684	flip	1301.24551147
1301.25252276	flip	1301.25252098
1301.25940964	flip	1301.25940785
1301.26633509	flip	1301.26633382
1301.27329836	flip	1301.27329657
1301.28019392	flip	1301.28019238
1301.28713087	flip	1301.28712959
1301.29409566	flip	1301.29409413
1301.30103057	flip	1301.30102929
1301.30797084	flip	1301.30796905
1301.31495811	flip	1301.31495684
1301.32186185	flip	1301.32186032
1301.32884325	flip	1301.32884197
1301.3357521	flip	1301.33575057
1301.3426847	flip	1301.34268343
1301.34966917	flip	1301.34966789
1301.35658185	flip	1301.35658083
1301.36351701	flip	1301.36351573
1301.3704652	flip	1301.37046367
1301.37740905	flip	1301.37740777
1301.55121445	screen_text	You will now begin the training section. Press 1 to continue.
1301.55128112	flip	1301.55121087
1371.52706209	keypresses	1
1371.47056951	flip	1371.47056772
1371.48448505	screen_text	You will listen to a video of someone saying a sentence. They will say a sentence twice. The second time their voice will be modulated. Listen for this modulation. Press 1 to begin this section.
1371.48453998	flip	1371.4844825
1377.16221601	keypresses	1
1377.10220816	flip	1377.1022056
1377.10466303	trial_id	foo
1378.47101353	play	None
1378.4710659	flip	1378.47019064
1378.48402059	flip	1378.48401778
1378.49784978	flip	1378.49784646
1378.51178116	flip	1378.51177784
1378.52566937	flip	1378.5256663
1378.53958618	flip	1378.53958337
1378.5534772	flip	1378.55347464
1378.56736464	flip	1378.56736157
1378.58125156	flip	1378.58124901
1378.59513466	flip	1378.5951321
1378.60902593	flip	1378.60902337
1378.62291566	flip	1378.62291311
1378.63679927	flip	1378.63679672
1378.65068977	flip	1378.65068722
1378.66455115	flip	1378.66454809
1378.67846107	flip	1378.67845826
1378.69235336	flip	1378.69235081
1378.70623493	flip	1378.70623237
1378.72012492	flip	1378.72012236
1378.73401568	flip	1378.73401312
1378.74790822	flip	1378.74790567
1378.76172106	flip	1378.76171851
1378.77568259	flip	1378.77568003
1378.78957948	flip	1378.78957692
1378.8034613	flip	1378.80345849
1378.8173237	flip	1378.81732089
1378.83123311	flip	1378.83123055
1378.84512335	flip	1378.84512054
1378.85900772	flip	1378.85900517
1378.87289951	flip	1378.87289721
1378.88678464	flip	1378.88678209
1378.9006731	flip	1378.90067055
1378.91456105	flip	1378.91455799
1378.9284301	flip	1378.92842703
1378.94233695	flip	1378.94233414
1378.95622924	flip	1378.95622643
1378.97011259	flip	1378.97010978
1378.98400514	flip	1378.98400258
1378.99788798	flip	1378.99788542
1379.01177337	flip	1379.01177056
1379.02563705	flip	1379.02563373
1379.03953036	flip	1379.03952806
1379.0534413	flip	1379.05343824
1379.06731188	flip	1379.06730907
1379.08121822	flip	1379.08121567
1379.09510592	flip	1379.09510311
1379.10899284	flip	1379.10899003
1379.12288284	flip	1379.12288028
1379.13677002	flip	1379.13676695
1379.15059129	flip	1379.15058848
1379.16454694	flip	1379.16454438
1379.17844127	flip	1379.17843846
1379.19232283	flip	1379.19232002
1379.20621385	flip	1379.20621104
1379.22009745	flip	1379.22009464
1379.23398898	flip	1379.23398642
1379.24782839	flip	1379.24782583
1379.26176692	flip	1379.26176411
1379.27565027	flip	1379.27564746
1379.28954077	flip	1379.28953796
1379.3033858	flip	1379.30338248
1379.31731642	flip	1379.31731386
1379.33120206	flip	1379.33119951
1379.34509104	flip	1379.34508874
1379.35898358	flip	1379.35898103
1379.37286974	flip	1379.37286719
1379.38676025	flip	1379.38675744
1379.40064411	flip	1379.40064155
1379.41453435	flip	1379.41453154
1379.42839395	flip	1379.42839062
1379.44230821	flip	1379.44230514
1379.45624649	flip	1379.45624342
1379.47008257	flip	1379.47008002
1379.48397154	flip	1379.48396899
1379.4978577	flip	1379.49785489
1379.51174897	flip	1379.51174667
1379.52559605	flip	1379.52559298
1379.53945819	flip	1379.53945564
1379.55336837	flip	1379.55336556
1379.56730307	flip	1379.56730026
1379.58118131	flip	1379.58117824
1379.5950759	flip	1379.5950736
1379.6089664	flip	1379.60896359
1379.62285307	flip	1379.62285001
1379.63674434	flip	1379.63674128
1379.65063076	flip	1379.65062846
1379.66449444	flip	1379.66449137
1379.67840563	flip	1379.67840257
1379.69229844	flip	1379.69229537
1379.70616033	flip	1379.70615777
1379.72006846	flip	1379.7200659
1379.73395896	flip	1379.73395666
1379.74780578	flip	1379.74780322
1379.76173333	flip	1379.76173051
1379.77562102	flip	1379.77561846
1379.78951408	flip	1379.78951152
1379.80339743	flip	1379.80339462
1379.81726289	flip	1379.81726008
1379.83113117	flip	1379.8311281
1379.84505897	flip	1379.84505642
1379.85894999	flip	1379.85894718
1379.87283845	flip	1379.87283615
1379.88672537	flip	1379.88672231
1379.90061204	flip	1379.90060949
1379.91450229	flip	1379.91449923
1379.92834988	flip	1379.92834732
1379.9422787	flip	1379.94227589
1379.95614698	flip	1379.95614366
1379.97005485	flip	1379.97005179
1379.9839428	flip	1379.98394025
1379.9978305	flip	1379.9978282
1380.01172023	flip	1380.01171768
1380.02561099	flip	1380.02560844
1380.03949587	flip	1380.03949357
1380.0533851	flip	1380.05338254
1380.06727126	flip	1380.06726819
1380.08116074	flip	1380.08115793
1380.09504588	flip	1380.09504281
1380.10893664	flip	1380.10893357
1380.12282203	flip	1380.12281948
1380.13671305	flip	1380.13671049
1380.15059921	flip	1380.1505964
1380.16441945	flip	1380.16441664
1380.17835364	flip	1380.17835109
1380.19226126	flip	1380.19225845
1380.20615534	flip	1380.20615279
1380.22004202	flip	1380.22003997
1380.23392869	flip	1380.23392613
1380.24777474	flip	1380.24777193
1380.26165885	flip	1380.2616563
