# {"exp_name": "Flipface", "audio_controller": null, "response_device": "keyboard", "stim_rms": 0.01, "stim_fs": 44100, "stim_db": 60, "noise_db": 45, "output_dir": "data", "window_size": null, "screen_num": null, "full_screen": true, "force_quit": ["end"], "participant": "007", "monitor": null, "trigger_controller": null, "session": "001", "check_rms": "windowed", "suppress_resamp": false, "version": "dev", "enable_video": true, "verbose": null, "date": "2018-07-22 10_03_44.349000", "file": "C:\\Users\\Maddox\\FlippyFace\\flippedface.py", "version_used": "2.0.0.dev0"}
timestamp	event	value
4.26523918782	flip	4.26521849429
4.27178447459	flip	4.27178217531
4.27890458162	flip	4.27890253782
4.28567213223	flip	4.28567085485
4.29264406337	flip	4.29264253052
4.29955570226	flip	4.29955468035
4.30648164778	flip	4.3064793485
4.31341142543	flip	4.31341014806
4.32035499878	flip	4.3203537214
4.32729933855	flip	4.32729806117
4.33422834978	flip	4.3342270724
4.34115301792	flip	4.34115199602
4.34809684674	flip	4.34809556936
4.35505753695	flip	4.35505625958
4.36198527081	flip	4.36198399343
4.36894519459	flip	4.36894391721
4.37591252717	flip	4.37591124979
4.38285967718	flip	4.3828583998
4.38980044029	flip	4.38979941838
4.39674707934	flip	4.39674580196
4.40367609057	flip	4.40367481319
4.41062528438	flip	4.410624007
4.41756987962	flip	4.41756860224
4.42450910988	flip	4.4245078325
4.43146954462	flip	4.43146826724
4.43841030773	flip	4.43840877487
4.44536333367	flip	4.44536180082
4.45229106752	flip	4.45229004562
4.459264787	flip	4.45926299867
4.46618434563	flip	4.46618306825
4.47313583872	flip	4.47313456134
4.48009627345	flip	4.48009499607
4.4870429125	flip	4.48704163513
4.49398571942	flip	4.49398469752
4.50093465775	flip	4.50093363585
4.50787439896	flip	4.50787337706
4.5148179723	flip	4.51481669493
4.52176256755	flip	4.52176129017
4.52873730893	flip	4.52873628702
4.53567705013	flip	4.53567500633
4.54255803194	flip	4.54255675456
4.54951361264	flip	4.54951233526
4.55644492315	flip	4.55644364577
4.56338773007	flip	4.56338670816
4.57033181436	flip	4.57033079246
4.57728432935	flip	4.57728305197
4.58422228223	flip	4.58422100485
4.59116815486	flip	4.59116687748
4.59810942892	flip	4.59810815154
4.60505198036	flip	4.60505095846
4.61199810846	flip	4.61199708656
4.61895062345	flip	4.61894934607
4.62588806538	flip	4.62588704347
4.63283240515	flip	4.63283138324
4.63977291278	flip	4.6397716354
4.64671801898	flip	4.6467167416
4.65366057042	flip	4.65365954852
4.66063071323	flip	4.66062943586
4.66754976091	flip	4.66754873901
4.67449333426	flip	4.67449231235
4.68144354997	flip	4.68144227259
4.68838073642	flip	4.68837945904
4.69532584262	flip	4.69532456524
4.87599798379	screen_text	Training Session: In this experiment you will listen to speakers saying sentences. Once the screen turns black, type in what you heard and press enter. Only use letter keys and the space bar. Do not use punctuation or number keys. You do receive partial credit, so type in what you heard even ifit is not a full sentence. Press space to begin training.
4.8760702834	flip	4.87599542903
22.5790430239	keypress	space
22.5832172409	flip	22.5832154526
22.5855609748	trial_id	foo
23.1734283839	flip	23.1734255737
23.180363782	flip	23.1803625047
23.1873129758	flip	23.1873116985
23.1942690675	flip	23.1942677901
23.2012287358	flip	23.2012274584
23.208163623	flip	23.2081623456
23.2151100065	flip	23.2151087292
23.2220538354	flip	23.2220528135
23.2289984306	flip	23.2289971532
23.2359481354	flip	23.235946858
23.2429121468	flip	23.2429108694
23.2498383478	flip	23.2498370704
23.2567617385	flip	23.2567599502
23.263724728	flip	23.2637234506
23.2706619145	flip	23.2706606371
23.2776144295	flip	23.2776126411
23.2845485502	flip	23.2845472728
23.2914670869	flip	23.2914658096
23.2984180691	flip	23.2984167917
23.3053547446	flip	23.3053537227
23.3123261648	flip	23.3123248874
23.3192720374	flip	23.31927076
23.3261864865	flip	23.3261854646
23.3331466658	flip	23.3331453884
23.3401116991	flip	23.3401104217
23.3470251263	flip	23.3470241044
23.353986072	flip	23.3539842836
23.3609109956	flip	23.3609097182
23.3678563573	flip	23.3678548244
23.3747955875	flip	23.3747943101
23.3817511682	flip	23.3817493799
23.3886835006	flip	23.3886824787
